1stFlrSF,GarageArea,GrLivArea,YearBuilt
1144,596,1144,1956
1352,288,1352,1958
926,484,1316,1929
1086,592,1924,1998
1164,240,1164,1950
952,840,952,1951
938,0,2358,1872
1680,540,1680,1988
1221,672,1912,1905
1004,480,1004,1970
774,305,1230,1946
1167,495,1167,1920
1301,440,1301,1924
1453,445,1453,1986
1601,670,1601,2001
1588,825,1588,2006
1095,264,1095,1958
1050,368,1050,1961
960,432,960,1965
1002,280,1456,1948
1489,462,1489,1968
1726,786,1726,2007
1362,484,2082,2003
1339,484,1339,1990
1310,1069,2450,1998
879,660,1863,2006
768,396,768,1972
334,0,334,1946
1136,384,1136,1965
1337,405,1337,1998
912,288,912,1964
876,264,1812,1962
1052,240,2192,1939
658,0,1184,1910
964,308,1889,1910
1327,624,1327,1959
1422,576,1422,1981
1632,576,1632,1967
1630,451,1630,2000
1013,0,1526,1915
1040,420,1040,1949
841,216,1647,1915
1328,576,1981,1928
1644,418,1644,1953
1482,868,2574,2007
1060,520,1824,1919
1350,520,1350,1964
958,440,958,1976
1053,370,1848,1923
1620,490,1620,1976
1167,400,1167,1992
798,220,1487,1945
892,288,892,1967
804,240,804,1940
1140,0,1140,2006
983,483,1796,1963
1118,551,2030,1976
1026,812,2007,2008
691,216,691,1920
786,676,1590,2008
1216,325,1855,1954
1028,442,1804,1999
884,543,1768,2003
1831,807,3627,1995
1298,403,1298,1985
1801,484,1801,1959
630,0,630,1970
1103,440,1103,1925
859,384,1178,1900
1196,440,1196,1916
1372,529,1372,2007
1431,296,1431,1962
1422,626,1422,2004
1079,501,1953,1992
1121,440,1121,2003
1143,852,2473,2004
1057,576,1057,1962
1110,602,1110,1978
1164,671,2270,1999
2018,746,2018,2008
672,440,1386,1978
1082,1043,1953,2005
1337,462,1337,1993
997,648,2285,2000
1718,826,1718,2007
1086,484,1086,1966
1555,660,1555,2007
1902,567,1902,1959
1298,693,2514,1990
1224,528,1224,1979
1054,460,1054,1969
1276,676,2612,1998
902,288,902,1967
1153,484,2353,1980
689,299,1392,1977
1155,576,1155,1961
1136,240,1904,1950
950,208,1158,1929
751,502,1362,1920
1005,429,2291,1999
649,250,1317,1920
1734,928,1734,2007
1194,312,1194,1959
876,720,1416,1915
1383,354,1383,1954
1001,871,2002,1949
1496,474,1496,2007
984,660,1604,1941
764,504,764,1925
977,476,1732,1985
1494,840,1494,2006
986,180,986,1926
1145,397,1145,2005
742,0,1484,1914
1344,525,1344,1958
958,686,1539,1904
1134,656,2504,2005
747,528,747,1926
1108,583,2097,1998
3138,884,4676,2007
786,624,1176,1937
720,0,720,1920
1580,830,1580,2007
1440,0,1440,1977
738,540,1476,2005
1500,570,1500,2004
884,216,1348,1925
1200,884,1200,1965
1394,514,1394,1963
800,484,1632,1966
912,336,912,1967
1370,864,2624,1918
1696,349,1696,1962
682,440,1230,1910
1549,440,2727,1932
728,429,1456,2006
864,660,864,1970
970,380,1709,2004
810,528,1665,2001
1372,656,2646,1993
798,595,1640,2003
1014,420,1699,1900
1663,529,1663,1954
1728,504,1728,1963
1055,462,1845,1992
1020,440,1851,1964
1489,776,1489,2006
864,300,864,1959
1256,276,1256,1965
816,816,816,1982
902,492,1820,1965
912,833,2127,1991
1065,461,1065,1960
1200,312,1200,1923
1208,632,1208,2006
1133,642,2482,2005
1720,527,1720,1996
840,0,840,1930
1294,496,1294,1991
1090,450,1090,2005
1165,420,2263,1998
969,440,969,1975
894,1248,894,1935
1028,360,1028,1927
979,492,1958,1946
1795,895,1795,2006
1940,606,1940,2009
1178,439,1178,1973
810,400,1482,1925
1428,554,1428,2008
864,338,864,1972
616,200,1111,1941
680,420,1470,1993
1116,440,1116,1962
864,288,864,1959
1297,498,1297,1954
1113,264,1113,1950
1501,577,1501,1999
764,614,1547,2009
991,678,1947,2004
1717,908,1717,2006
1052,440,1052,1971
1127,455,2013,1996
1266,388,1266,2007
1992,716,2868,2005
980,554,2256,2000
1414,494,1414,2004
936,471,1721,1994
811,434,1552,1975
698,528,1128,1920
1118,358,1118,1977
1728,574,1728,1976
1686,711,2448,1994
1473,452,1473,1968
1187,400,1717,1990
1166,400,1166,2005
1370,484,1370,2006
1724,480,1724,1967
970,380,1709,2004
483,264,987,1971
901,216,1802,1920
1170,360,2345,1932
1068,264,1068,1963
1617,533,1617,1993
1244,336,1244,1957
1180,252,1180,1922
520,480,1223,2005
1686,612,1686,1980
1646,800,1646,2007
1144,264,1144,1961
939,639,1797,2006
1224,462,1224,1962
992,839,1865,2000
1056,308,1056,1958
1966,820,3140,2008
1212,492,1212,1977
1694,636,1694,2004
802,413,1511,1997
1057,246,1057,1953
1246,560,2290,1885
1377,786,2183,1988
1699,594,3222,1990
909,512,1716,1996
1342,457,1342,1967
1504,437,1504,2005
1053,648,1992,2003
624,462,1252,1999
999,264,999,1962
741,528,1363,1910
1165,490,1165,1966
1668,702,1668,2002
1158,853,2376,2005
889,352,1440,1900
794,388,1470,1997
1541,532,1541,2005
1440,0,1440,1955
1146,438,1146,2003
1494,481,1494,1995
1462,738,2224,2004
820,186,1343,1921
1210,683,2452,1998
1127,540,1977,1964
1064,504,1767,1987
1324,550,1324,2006
912,330,1458,1948
1314,440,1314,2006
1575,529,1575,1992
1620,912,1620,2007
1104,304,1788,1957
913,240,913,1966
2073,500,2073,1978
764,492,1441,1999
815,225,1690,1916
1437,576,1437,1956
2156,508,2156,1968
864,0,864,1925
536,336,1112,1976
1122,746,2243,1990
810,210,1328,1925
968,216,968,1927
698,384,1396,1915
1856,834,1856,2010
1610,789,2161,2007
1602,529,1602,1977
630,280,1302,1971
807,393,1509,2002
912,352,912,1962
1004,420,1664,1947
1390,576,1694,1925
747,220,747,1945
1040,420,1040,1950
831,493,1660,2002
1026,308,1691,1924
864,720,864,1950
752,264,752,1984
963,564,1792,2001
764,474,1626,2003
1484,472,1484,2006
1675,870,3493,1880
1652,840,1652,2006
1276,350,1276,1958
1112,271,1668,1950
720,0,1192,1949
884,504,884,1983
1180,454,2062,1988
827,392,827,1955
1136,532,2019,1910
616,336,1304,1976
684,216,1368,1910
840,379,1605,1915
2020,900,2020,2009
625,528,1250,2006
1624,757,1624,1994
845,360,845,1982
1389,418,1389,1974
968,480,968,1923
546,286,1092,1970
848,420,848,2003
1269,308,1269,1960
1092,288,1092,1962
1468,539,2263,1977
952,283,952,1956
736,0,1452,1920
1039,504,1039,1965
1204,412,1204,1998
1117,672,1117,1976
2196,701,2196,1990
985,328,985,1977
1629,880,1629,2003
877,216,1477,1928
980,484,980,1977
1166,590,2295,1992
900,180,1502,1923
1575,432,2201,1966
1050,836,2078,2007
800,0,800,1936
1578,840,1578,2008
1932,774,1932,2008
1507,404,1507,1960
900,280,900,1967
1718,786,1718,2006
1089,240,1750,1880
1383,834,2398,1996
774,680,1968,2009
1536,532,1536,2002
864,200,864,1914
3228,546,3228,1992
1518,670,2149,2003
1320,864,2640,1880
1682,530,1682,1970
1038,878,2098,2005
864,360,864,1965
1168,530,1968,1969
1097,480,1097,1984
684,528,1196,1920
1252,451,1920,1958
1728,576,1728,1965
1128,577,2031,2002
1196,297,1196,1956
803,360,803,1941
780,462,1620,1969
2097,1134,2097,2005
1869,617,1869,2007
956,431,1886,1998
480,308,480,1949
1296,516,1296,1967
816,288,816,1938
1601,478,1601,1978
962,451,1792,2000
1352,796,2520,1993
1144,796,1144,1959
990,621,2601,1921
972,312,1577,1939
970,624,970,1963
2036,513,2036,1965
1026,440,1026,1969
698,0,698,1947
1533,576,1533,1975
854,660,1382,1941
1391,530,1391,2004
1078,240,1078,1950
1296,471,1296,2001
1442,301,1442,1958
1024,0,1964,1911
1502,644,1502,2009
1392,458,1392,1957
1768,0,1768,1968
1582,390,1582,1964
958,301,958,1960
894,600,894,1972
1224,402,1224,1999
1742,846,2332,2007
1269,430,1269,2004
1776,712,1776,2006
728,390,1456,2005
1194,539,1194,1959
1008,240,1008,1953
1555,430,1555,2005
892,180,1784,1914
1108,280,1108,1930
754,400,1394,2006
980,496,1714,1988
882,294,882,1959
1306,0,1306,1940
626,288,1217,1980
990,299,990,1994
1132,691,2452,2004
848,420,848,2003
697,300,1369,1925
1218,676,1218,2009
1423,672,2555,1922
1247,550,1247,2005
1542,619,2872,1977
1652,482,1652,2008
1844,546,1844,1977
1113,689,1971,2005
1007,463,1800,2000
1062,574,1949,1993
630,0,630,1972
1494,530,1494,2002
600,0,968,1910
1274,508,1274,2005
1520,364,1520,1955
1285,528,1285,1977
807,393,1509,2003
1142,550,1935,1976
816,0,816,1990
1200,555,1200,2003
997,548,1470,1954
1656,528,1656,1960
792,240,792,1924
1694,818,1694,2007
1800,765,1800,2002
1422,560,2337,1900
1168,315,1846,1949
1026,576,1026,1978
904,408,904,1966
1126,484,1126,1977
1136,872,2468,2004
988,540,988,1969
1052,288,1052,1968
572,0,1096,1924
1141,484,1141,2005
1012,484,1790,1972
1004,660,1852,1999
520,0,754,1935
624,513,1344,1916
2207,576,2207,1970
1307,360,2358,1908
1175,831,2715,1976
1364,484,1364,2005
1253,402,1253,1995
1328,528,1328,1963
1422,286,1422,1960
1186,486,1986,1965
952,192,952,1916
1660,500,1660,2006
2234,1166,2234,2008
790,160,790,1930
1340,396,1340,2007
1610,480,1610,1977
1361,600,2620,1977
1248,438,1248,2005
912,288,912,1961
943,472,1638,1998
1622,1356,1622,1961
1436,180,2320,1945
1144,456,1144,1961
848,281,1520,1932
1516,472,1516,1964
1498,675,1498,2006
804,560,1961,2001
728,440,1456,2006
1207,349,2403,1940
1944,708,1944,2003
1368,474,1368,2005
882,588,1790,1999
1476,858,2713,2008
720,312,1271,1948
1872,604,1872,1988
1190,577,2090,1984
882,546,1796,1998
1302,436,1302,2007
2524,542,2524,1981
840,338,1374,1920
764,474,1626,2003
735,240,1034,1940
1518,588,1518,2003
1226,240,1818,1931
1661,598,1661,1998
1096,432,1991,1932
832,324,1482,1920
1742,564,1742,1985
686,280,1250,1918
816,528,1176,1934
927,506,1915,1992
1192,240,1595,1940
1661,377,1661,1955
832,552,1935,2009
1795,534,1795,2002
847,434,1928,2003
1159,336,1159,1968
855,440,1456,1978
1137,431,1954,1939
2028,880,2028,2005
2898,665,2898,1976
814,663,1674,2000
974,0,974,1991
1091,586,1989,2002
1080,678,2097,1993
1442,500,1442,1990
1130,720,1130,1920
1133,240,1820,1925
1378,583,2119,1972
1264,666,2576,2006
780,0,1020,1875
1095,779,1774,1900
904,0,904,1922
673,490,1382,2000
1518,840,3608,1892
1178,205,2210,1880
806,373,1572,1995
1824,739,1824,1971
1056,304,1056,1968
949,392,1221,1924
1362,504,1362,1961
848,420,848,2004
1434,527,1434,2001
1208,628,1208,2007
1096,566,1466,1936
1987,691,1987,1994
1325,983,2418,1993
1314,626,1314,2007
970,380,1709,2004
672,0,1218,1971
1440,0,3395,1914
1200,0,1200,1987
912,297,912,1958
2444,832,4316,1994
856,548,1710,2003
1234,656,2374,2003
860,234,1564,1941
1466,528,1466,1959
1383,292,1383,1960
1535,410,1535,1979
990,576,990,1995
918,240,1646,1941
908,440,1928,1910
1040,550,1725,1979
2129,541,2872,1992
1092,576,2112,1969
757,240,1324,1936
520,480,1200,2005
672,468,1344,1920
840,500,1668,2003
1040,400,1040,1950
900,576,900,1951
1559,812,1559,1948
948,248,948,1954
923,264,923,1980
1552,782,1552,2005
961,642,1717,1915
1721,440,1721,1968
483,264,987,1973
1200,521,1200,1995
1148,281,1716,1949
894,336,894,1965
1771,336,1771,1960
1173,528,1173,1974
1287,576,1287,1959
1382,459,1382,1963
1214,721,2520,1995
1215,297,1215,1958
1203,844,2526,1994
600,480,1200,2004
1728,560,1728,1976
902,480,1710,1921
1407,870,2392,1997
1014,457,1744,1993
822,562,1665,2007
1282,792,2696,2007
864,528,864,1971
672,234,672,1941
1320,564,1320,1966
958,440,958,1976
1710,550,1710,2004
1265,502,1265,1965
1456,400,1456,2003
1067,576,1539,1936
1959,766,1959,1988
1008,0,1522,1926
1124,0,1124,1954
1107,484,2090,1973
1214,461,1214,1965
1779,454,1779,1955
1629,808,1629,2002
1554,627,1554,2006
993,642,2236,1997
796,0,796,1922
840,308,1680,1915
848,420,848,2003
1142,528,1142,1976
1252,564,1252,1960
1684,564,1684,2005
2000,888,2000,2004
1616,834,1616,2005
1299,531,1872,2001
1042,225,1576,1928
1175,575,1982,1989
988,276,988,1950
1844,620,1844,2005
1258,528,1258,1971
1288,500,1288,1996
1634,866,1634,2006
855,440,1322,1974
707,403,1414,2004
1504,478,1504,1996
1670,690,1670,2006
1516,518,2167,1974
1069,440,1069,1977
1072,525,1072,2005
1572,995,1572,1963
1188,456,1869,1890
882,0,882,1956
1922,676,1922,2005
780,352,780,1972
1021,300,1601,1958
1530,430,1530,2005
833,0,833,1985
679,308,1183,1948
1040,260,1040,1962
1466,1052,2828,2006
1032,288,1252,1950
1246,305,1246,1959
904,180,904,1926
966,416,1652,1915
1036,288,1268,1949
1172,342,1913,1928
1358,484,1358,2009
1657,484,1657,1970
838,275,838,1918
1022,390,2060,1999
764,474,1626,2003
663,299,1352,1969
968,240,1376,1941
849,240,1660,1934
616,432,1412,2006
756,216,1469,1906
774,400,1430,2000
1094,495,1094,1953
1826,758,1826,2005
672,576,924,1949
1502,528,1502,1985
616,603,1688,1997
1262,572,1262,2006
1905,788,1905,2006
1153,541,2031,1998
1350,478,1350,1974
941,613,1829,2003
965,300,965,1965
672,280,924,1941
1055,905,2263,2001
1236,540,2108,1935
1242,528,1242,1973
989,240,1573,1935
884,434,2035,2001
1232,516,1232,1984
1098,483,1964,1976
792,0,1140,1910
894,450,894,1967
1512,619,2654,1968
768,396,768,1972
672,0,912,1947
1040,504,2080,1969
1040,576,1040,1996
1149,216,1616,1926
1047,273,1047,1885
1803,484,1803,1957
832,528,832,1954
894,384,894,1966
596,189,1192,1920
1850,772,1850,2004
899,288,899,1967
892,264,892,1966
1260,506,2291,1910
1075,360,2138,1898
926,470,1604,1997
887,422,2021,2006
938,308,938,1975
912,216,1426,1918
928,400,1920,1948
1098,260,1098,1955
729,0,729,1935
1252,528,1252,1959
1584,792,1584,1967
1506,592,1506,2008
1709,506,1709,1999
1092,299,1092,1957
1746,758,1746,2006
1304,667,2287,1953
789,200,789,1926
1041,270,1041,1959
993,431,1908,2002
1010,390,2267,2002
875,180,875,1931
1526,364,1526,1957
1567,714,1567,1977
1734,1020,2822,2008
689,360,1378,1928
1281,368,1738,1920
1164,521,2060,1988
1128,286,1128,1954
840,440,1720,2004
1050,338,1050,1956
1114,576,1114,2003
1053,750,1053,1958
1593,682,1593,2001
1214,318,1214,1967
816,264,816,1982
1535,400,1535,1979
1360,795,3112,1918
1079,685,1919,2006
1097,672,1097,1994
983,423,1750,1940
483,288,987,1972
981,576,981,1971
1700,447,1700,1959
816,308,816,1957
944,622,1840,2001
1291,576,2521,1973
1002,902,1002,1970
841,294,841,1950
996,564,996,1992
1713,856,1713,2004
1412,576,1412,1988
1236,923,1236,1957
1040,648,1040,1963
1616,608,1616,1995
1414,601,1414,1958
975,576,1950,1997
1086,490,1086,1954
1072,528,1576,1923
768,624,768,1970
1381,676,1381,1972
1284,647,2169,2002
720,287,720,1949
1584,520,2792,1920
936,576,936,1953
1181,588,1181,1972
1689,954,1689,2007
948,280,948,1954
756,440,1512,2000
894,450,894,1968
932,644,1852,2009
845,290,845,1957
774,0,774,1931
2053,666,3238,1995
1232,632,1232,2007
1164,528,1164,1969
912,160,1248,1930
1687,572,1687,1948
860,440,1960,2002
546,286,1092,1970
894,400,894,1954
1479,558,1479,2003
1060,270,1060,1968
1436,484,1436,2004
1044,504,1044,1952
880,320,1768,1914
816,432,816,1930
774,400,1430,2000
1867,303,1867,1955
1500,648,1500,2006
1100,312,1100,1960
816,264,816,1982
1328,308,1328,1959
1728,842,2296,2008
864,572,864,1955
1266,453,1266,2005
858,0,858,1971
832,506,1710,1993
772,264,1123,1939
953,460,1647,1999
874,288,874,1968
1788,522,1788,2001
1839,416,1839,1957
1088,484,1868,1976
1712,588,1712,1959
561,462,1229,1980
1600,890,1600,2007
916,460,1600,1997
896,240,1344,1936
1126,540,1126,1977
923,264,923,1984
616,205,616,1921
1800,0,1800,1961
1505,505,1505,1953
1647,621,1647,1977
1132,451,1132,2005
928,470,1764,1997
1088,240,1529,1945
1699,336,2447,1919
1504,457,1504,2005
1163,220,1163,1955
769,440,1525,2000
935,288,935,1965
813,270,813,1930
1112,230,2008,1948
1532,514,2329,1990
910,282,1558,1950
832,528,1664,1976
2110,522,2110,1968
905,684,1786,1997
925,336,1475,1977
811,256,1387,1954
976,380,1708,2004
1085,440,1734,1962
1766,520,2414,1900
933,493,1908,1994
1283,506,1283,1962
1212,573,1212,2001
952,672,1548,1925
980,384,980,1967
1811,470,1811,1956
1056,384,1056,1966
1234,484,1234,2007
630,440,1302,1970
1035,0,1406,1920
858,576,858,1982
1182,736,2324,2005
910,414,910,1953
798,442,1611,1964
684,400,1560,2005
2020,630,2020,1977
1338,582,1338,2001
1188,312,1188,1962
1459,527,1459,2002
1306,533,2260,1996
1430,605,1430,2001
996,0,996,1940
1092,504,1092,1964
625,625,1250,2006
864,572,1728,2004
924,280,924,1975
1199,530,1199,1993
948,300,948,1968
925,429,925,1965
835,366,835,1920
1580,610,2466,2004
1216,487,2157,1966
1060,572,1060,1976
2633,804,2633,2001
1048,280,1048,1922
953,460,1664,2000
784,360,784,1928
1279,473,1279,1977
1229,284,1229,1956
1268,244,1268,1954
1428,480,1428,2007
1125,352,1125,1976
1008,275,1008,1954
1630,860,1630,2008
864,673,1728,2003
1211,322,1211,1968
1040,286,1040,1959
1707,511,1707,1981
955,462,1632,1998
1392,528,1392,1957
1319,270,1319,1953
742,390,1484,2005
971,300,971,1969
1062,539,1062,1976
980,0,980,1975
1405,478,1405,2003
959,472,1671,2000
1074,495,1074,1975
1547,672,2320,1948
918,264,918,1979
1437,528,1437,1976
1069,440,1069,1977
829,441,1556,1968
824,510,1894,2002
1973,895,1973,2006
1898,564,2978,1967
848,420,848,2004
804,400,1474,1995
1056,260,1056,1954
902,484,902,1983
1032,564,1032,1978
1077,338,1077,1920
1235,480,1235,1961
1442,719,1442,1990
483,264,987,1971
1004,504,1004,1977
1006,0,1006,1959
936,0,1716,1912
860,565,1720,2004
960,308,960,1920
1604,660,1604,2006
2217,621,2217,1970
1844,540,1844,1969
799,380,1571,1993
1479,577,1479,1999
1619,529,1786,1965
1632,338,1632,1958
866,578,1768,2007
1096,299,1096,1969
1236,542,2093,1986
660,453,1348,1966
728,410,1456,2005
1600,319,1600,1957
1700,544,1700,2003
808,389,1593,1992
1363,288,1363,1951
855,440,1441,1978
1710,866,1710,2007
1222,463,2110,1994
725,475,1479,1976
767,367,767,1998
664,426,1496,2006
1567,648,1567,2006
1148,308,1148,1952
1120,753,1970,2006
1453,750,2810,1990
1470,696,2630,1998
1105,480,2274,1960
1261,433,1261,1958
1486,480,1486,1964
773,240,773,1953
1537,462,1537,1962
866,546,1779,1998
1225,0,1225,1959
848,420,848,2003
780,198,1376,1937
742,440,1471,1999
869,0,869,1923
729,440,1458,1999
894,440,894,1974
885,427,1718,1998
1701,611,1701,1975
864,576,864,1972
1094,512,1855,1976
1651,616,1651,1986
612,528,1224,2009
928,288,928,1957
372,0,1092,1930
832,546,1641,1925
708,776,1416,1968
1058,736,1904,2005
936,308,936,1956
716,452,1556,1980
864,400,864,1951
1654,900,1654,2002
1416,576,1416,1918
1268,856,2365,1999
1067,436,1067,1950
1318,539,1902,1978
1557,420,1557,2003
1195,486,1839,1998
